context	direction	GO_ID	GO_term	observed_hits	observed_genes	null_mean_hits	null_sd	fold_vs_window_null	empirical_p	null_ge_observed	n_observed_genes	nperm	FDR_BH
CG	gain	GO:0006346	DNA methylation-dependent constitutive heterochromatin formation	5	AT2G16390;AT3G07610;AT3G23780;AT3G49250;AT5G20420	8.62	2.641136119172962	0.580046403712297	0.9601990049751243	192	693	200	1.0
CG	gain	GO:0006351	DNA-templated transcription	8	AT1G19350;AT1G50030;AT1G73177;AT2G01280;AT2G40030;AT3G16680;AT3G23780;AT5G53660	26.225	4.32601144242591	0.3050524308865586	1.0	200	693	200	1.0
CG	gain	GO:0006355	regulation of DNA-templated transcription	48	AT1G19350;AT1G19510;AT1G19850;AT1G22770;AT1G23420;AT1G27220;AT1G34170;AT1G34180;AT1G34390;AT1G35240;AT1G35520;AT1G49950;AT1G50030;AT1G71930;AT1G79950;AT2G10440;AT2G17150;AT2G23740;AT2G24790;AT2G25180;AT2G28290;AT2G31215;AT2G32250;AT2G33860;AT2G42830;AT2G46790;AT3G07050;AT3G12280;AT3G13840;AT3G22760;AT3G23690;AT3G29035;AT3G62930;AT4G00540;AT4G19600;AT4G22070;AT4G29940;AT4G32880;AT4G35270;AT4G38180;AT5G17690;AT5G32670;AT5G39690;AT5G40360;AT5G51230;AT5G53660;AT5G60120;AT5G64220	167.3	12.792185114357741	0.2869097429766886	1.0	200	693	200	1.0
CG	gain	GO:0006357	regulation of transcription by RNA polymerase II	5	AT1G49950;AT2G42830;AT3G12280;AT3G62930;AT4G19600	24.43	4.564548170410737	0.20466639377814164	1.0	200	693	200	1.0
CG	gain	GO:0006364	rRNA processing	7	AT1G75660;AT2G04270;AT2G39140;AT2G43650;AT3G11964;AT4G09730;AT5G16750	12.27	3.450666602266874	0.5704971475142625	0.9850746268656716	197	693	200	1.0
CG	gain	GO:0006396	RNA processing	22	AT1G07350;AT1G07910;AT1G44910;AT1G75660;AT2G04270;AT2G06990;AT2G39140;AT2G40030;AT2G43650;AT3G11964;AT3G16010;AT3G23780;AT3G48190;AT3G49500;AT4G09730;AT5G13680;AT5G16750;AT5G23880;AT5G25060;AT5G39920;AT5G53060;AT5G64200	63.49	7.1888733470551305	0.3465112616160025	1.0	200	693	200	1.0
CG	gain	GO:0006397	mRNA processing	6	AT1G44910;AT2G04270;AT2G06990;AT5G23880;AT5G39920;AT5G64200	24.535	4.383922330516354	0.24454860403505196	1.0	200	693	200	1.0
CG	gain	GO:0006399	tRNA metabolic process	4	AT1G07910;AT1G44835;AT1G72550;AT5G13680	16.685	3.4344977798799126	0.23973629008091102	1.0	200	693	200	1.0
CG	gain	GO:0006401	RNA catabolic process	4	AT1G31500;AT1G54490;AT1G75660;AT2G06990	9.81	2.7228477739308157	0.4077471967380224	0.9950248756218906	199	693	200	1.0
CG	gain	GO:0006403	RNA localization	3	AT1G10390;AT3G05040;AT3G10650	4.95	1.9019726601610234	0.6060606060606061	0.9104477611940298	182	693	200	1.0
CG	gain	GO:0006405	RNA export from nucleus	3	AT1G10390;AT3G05040;AT3G10650	4.45	1.7797471730557677	0.6741573033707865	0.8706467661691543	174	693	200	1.0
CG	gain	GO:0006412	translation	9	AT1G34360;AT1G62750;AT1G72550;AT2G07715;AT2G39140;AT3G10950;AT3G13640;AT3G48930;AT4G11120	33.8	5.223025942880257	0.26627218934911245	1.0	200	693	200	1.0
CG	gain	GO:0006417	regulation of translation	4	AT3G49500;AT3G59410;AT5G39900;AT5G42950	6.205	2.330874299485066	0.6446414182111201	0.8756218905472637	175	693	200	1.0
CG	gain	GO:0006457	protein folding	9	AT1G55490;AT2G04030;AT2G22360;AT3G11830;AT3G62030;AT4G24280;AT5G15450;AT5G23040;AT5G67530	15.125	3.4913285436922163	0.5950413223140496	0.9900497512437811	198	693	200	1.0
CG	gain	GO:0006468	protein phosphorylation	6	AT1G65800;AT3G45430;AT3G59410;AT3G59700;AT4G23250;AT5G60280	19.55	3.8739514710434793	0.3069053708439898	1.0	200	693	200	1.0
CG	gain	GO:0006508	proteolysis	11	AT1G28110;AT1G66210;AT1G71696;AT3G42550;AT3G46850;AT4G15040;AT4G16190;AT4G21640;AT4G21650;AT4G30910;AT5G28550	38.335	5.777782879271236	0.28694404591104733	1.0	200	693	200	1.0
CG	gain	GO:0006511	ubiquitin-dependent protein catabolic process	10	AT1G55060;AT1G55860;AT1G66650;AT1G70320;AT1G74770;AT3G08790;AT3G27430;AT3G47020;AT3G55070;AT5G20620	24.39	4.633346522763	0.4100041000410004	1.0	200	693	200	1.0
CG	gain	GO:0006520	amino acid metabolic process	14	AT1G12050;AT1G17290;AT1G23310;AT1G25220;AT1G58080;AT1G71920;AT1G72550;AT2G20340;AT3G45300;AT3G62030;AT4G39120;AT5G04140;AT5G20980;AT5G53460	37.59	6.024275890096644	0.3724394785847299	1.0	200	693	200	1.0
CG	gain	GO:0006605	protein targeting	7	AT1G21650;AT1G48900;AT2G26890;AT2G30290;AT3G61710;AT4G24280;AT5G10370	9.84	2.775680096841134	0.7113821138211383	0.900497512437811	180	693	200	1.0
CG	gain	GO:0006623	protein targeting to vacuole	3	AT2G26890;AT2G30290;AT3G61710	4.33	1.8030806970293929	0.6928406466512702	0.8805970149253731	176	693	200	1.0
